keyword,rank,適不適合,原因,domain_page,url,title
講座,1,,,https://www.beclass.com ,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=L&xarea=%E6%A1%83%E5%9C%92,課程/講座-顯示所有活動-桃園-第1頁 - BeClass線上報名系統
講座,2,,,https://zh-tw.facebook.com ,https://zh-tw.facebook.com/groups/freeact/,免費演講/講座/課程/活動資訊分享平台 - Facebook
講座,3,0,,https://zh.m.wikipedia.org ,https://zh.m.wikipedia.org/zh-tw/%E8%AC%9B%E5%BA%A7,講座- 维基百科，自由的百科全书
講座,4,,,https://www.accupass.com ,https://www.accupass.com/event/1808171701261107116199,【免費講座】幸福從來不是在遠方 - Accupass活動通
講座,5,,,https://cloud.culture.tw ,https://cloud.culture.tw/frontsite/inquiry/eventInquiryAction.do?method=showEventList&type=7,文化部iCulture-找活動
講座,6,0,,https://cmykhuang.com ,https://cmykhuang.com/lecture/,2022免費講座平台彙整，隨時帶你掌握最新職涯資訊！
講座,7,1,,https://www.cnyes.com ,https://www.cnyes.com/events,活動講座- Anue 鉅亨網
講座,8,0,,https://www.dgbas.gov.tw ,https://www.dgbas.gov.tw/cp.aspx?n=4341,四)講座鐘點費 - 行政院主計總處
講座,9,,,https://www.beclass.com ,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=L,課程/講座-顯示所有活動-第1頁 - BeClass線上報名系統
講座,10,,,https://kktix.com ,https://kktix.com/events?event_tag_ids_in=2,探索活動 - KKTIX
講座,11,1,,https://www.cmoney.tw ,https://www.cmoney.tw/app/classes.aspx,講座- 理財寶
講座,12,,,https://coss.ntu.edu.tw ,https://coss.ntu.edu.tw/ISianLecture.html,頤賢講座 - 社會科學院- 國立臺灣大學
講座,13,0,,https://event.1111.com.tw ,https://event.1111.com.tw/event21/jobspeech/index.asp,【1111線上求職講座】各行業主管分享找工作密技大全
講座,14,0.5,活動分散,http://ps1tw.astro.ncu.edu.tw/ttss/,http://ps1tw.astro.ncu.edu.tw/ttss/index.php/2021gaiastemls/,蓋婭科普講座系列– 臺灣科學特殊人才提升計畫
講座,15,1,,https://www.tpqc.com.tw ,https://www.tpqc.com.tw/%E8%BE%A6%E8%AC%9B%E5%BA%A7%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85%E6%9C%89%E5%93%AA%E4%BA%9B%EF%BC%9F%E5%BE%9E%E5%A0%B4%E5%9C%B0%E5%88%B0%E6%B5%81%E7%A8%8B%EF%BC%8C3%E5%88%86%E9%90%98%E8%AE%93%E4%BD%A0/,辦講座注意事項有哪些？從場地到流程，3分鐘讓你了解眉角在 ...
講座,16,0.5,點不太過去,https://www.pscnet.com.tw/pscnetStock/index.do,https://webportal.pscnet.com.tw/lecture/lecture_list.php?activity_type=1,活動講座 - 統一證券
講座,17,0.5,,https://cla.ntust.edu.tw ,https://cla.ntust.edu.tw/p/412-1076-9406.php?Lang=zh-tw,通識講座 - 通識教育中心- 台科大
講座,18,0,,https://ioh.tw ,https://ioh.tw/talks?type=School,求學講座| IOH 開放個人經驗平台
講座,19,0,,https://huichung2021.conf.tw ,https://huichung2021.conf.tw/site/default.aspx?sid=1064&lang=cht,2022年「未來與希望」系列講座
講座,20,1,,https://common.tnnua.edu.tw ,https://common.tnnua.edu.tw/p/412-1050-1187.php,微學分課程/通識講座聆聽概況查詢 - 通識教育中心
講座,21,1,,https://tpml.gov.taipei ,https://tpml.gov.taipei/News.aspx?n=D86E817AA7D0F758&sms=9D72E82EC16F3E64,講座 - 臺北市立圖書館
講座,22,0,預錄課程,https://www.angle.com.tw ,https://www.angle.com.tw/layer.asp?bkid_1=4028&KindID3=4039,匯豐實務講座-元照網路書店
講座,23,0,,https://dict.concised.moe.edu.tw ,https://dict.concised.moe.edu.tw/dictView.jsp?ID=23500&la=0&powerMode=0,<講座> 辭典檢視- 教育部《國語辭典簡編本》2021
講座,24,1,,https://www.sinyischool.org.tw ,https://www.sinyischool.org.tw/course,講座總覽 - 信義學堂
講座,25,0,,http://rdar.rdo.fju.edu.tw ,http://rdar.rdo.fju.edu.tw/sites/rdar.rdo.fju.edu.tw/files/regulation/20141231%E8%AC%9B%E5%BA%A7%E8%A8%AD%E7%BD%AE%E8%A6%81%E9%BB%9E_0.pdf,輔仁大學講座設置作業要點
講座,26,0.5,,https://www.ht.org.tw ,https://www.ht.org.tw/p4_introduction10.htm,問心書院- 課程活動 - 行天宮
講座,27,1,,https://www.yatsen.gov.tw ,https://www.yatsen.gov.tw/content_282.html,講座系列列表 - 國立國父紀念館
講座,28,0.5,,https://www.cksh.tp.edu.tw ,https://www.cksh.tp.edu.tw/category/news/news_5/,研習講座| 臺北市立成功高級中學
講座,29,1,,https://philomedium.com ,https://philomedium.com/event/category/106,講座 - 哲學新媒體
講座,30,0,,https://gsa.cmu.edu.tw ,https://gsa.cmu.edu.tw/?q=zh-hant/node/23,現代生物醫學講座 - 中國醫藥大學研究生事務處
講座,31,0,,http://lawdata.com.tw ,http://lawdata.com.tw/tw/journal_list.aspx?no=299,"法學講座- 元照出版, 月旦知識庫"
講座,32,0,,https://gec.ocu.edu.tw ,https://gec.ocu.edu.tw/p/412-1019-106.php?Lang=zh-tw,積中講座 - 通識教育中心
講座,33,1,,https://arts.nycu.edu.tw ,https://arts.nycu.edu.tw/arts-lectures/hao-ran-lectures/,浩然講座 - 國立陽明交通大學藝文中心
講座,34,1,,https://cte.nptu.edu.tw ,https://cte.nptu.edu.tw/p/412-1023-74.php?Lang=zh-tw,師培增能講座 - 師資培育中心
講座,35,0,,https://law.moj.gov.tw ,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020039,教育部設置國家講座辦法 - 全國法規資料庫
講座,36,1,,https://www.library.ntpc.gov.tw ,https://www.library.ntpc.gov.tw/htmlcnt/doQueryManyHtmlCntTitleByCategory/003/ActvInfo,講座 - 新北市立圖書館
講座,37,0.5,電影放映為主,https://www.tfai.org.tw ,https://www.tfai.org.tw/zh/program/detail/2c95808281fb938901833ae70c4402bc,【再新電影出發的時候】系列講座
講座,38,1,,https://www.cksmh.gov.tw ,https://www.cksmh.gov.tw/activitysoonlist_126.html?csrfkey=IOGYIO&searchkey=%E5%81%A5%E5%BA%B7%E5%84%AA%E6%B4%BB,講座及研討會 - 國立中正紀念堂
講座,39,0,,http://doctor.get.com.tw ,http://doctor.get.com.tw/event/doctor-admission-card/lecture.aspx,"高點後中醫‧後西醫名師解題講座,高點醫護網"
講座,40,0,講座都是錄好的,https://dpe.site.nthu.edu.tw ,https://dpe.site.nthu.edu.tw/p/412-1144-19609.php?Lang=zh-tw,講習講座 - 運動科學系- 國立清華大學
講座,41,0.5,,https://www.esunbank.com.tw ,https://www.esunbank.com.tw/bank/marketing/digital/doctor_lecture,醫師專場講座 - 玉山銀行
講座,42,0,,https://www.osa.nchu.edu.tw ,https://www.osa.nchu.edu.tw/osa/laa/freshman/sys/?page_id=1293,新生生涯規劃講座 - 國立中興大學學生事務處
講座,43,0,,https://irc.pccu.edu.tw ,"https://irc.pccu.edu.tw/p/405-1016-68730,c10991.php?Lang=zh-tw",中國文化大學證照輔導系列講座 - 教學資源中心
講座,44,0,,https://www.books.com.tw ,https://www.books.com.tw/products/0010919956,不道德教育講座【異色典藏版】 - 博客來
講座,45,1,,https://tttc.ncfta.gov.tw ,https://tttc.ncfta.gov.tw/home/zh-tw/LectureTowardDrama,講座 - 臺灣戲曲中心官網
講座,46,0,,https://acad.ncku.edu.tw ,https://acad.ncku.edu.tw/p/412-1025-13749.php?Lang=zh-tw,"講座教授專區 - NCKU, 成功大學教務處"
